product_category_name_english,order_count,late_rate,median_handling_days,average_review_score,median_freight_value,median_freight_ratio,median_item_value,high_late_risk,high_freight_burden,low_review_score,problem_count
agro_industry_and_commerce,182,0.038461538461538464,1.0,4.021978021978022,23.935,0.09871524238881003,344.9,False,False,False,0
air_conditioning,253,0.039525691699604744,1.0,4.028112449799197,19.41,0.15467720685111988,139.0,False,False,False,0
art,202,0.0594059405940594,2.0,4.025,15.1,0.21615384615384614,99.9,False,False,False,0
audio,350,0.11714285714285715,2.0,3.8342939481268012,15.23,0.18107594936708862,89.0,True,False,True,2
auto,3897,0.07133692584039004,1.0,4.090147020892442,18.23,0.22086230876216967,89.9,True,False,False,1
baby,2885,0.07833622183708838,1.0,4.038622859140161,17.64,0.21802575107296135,79.9,True,False,False,1
bed_bath_table,9417,0.07316555166188808,1.0,3.9707398260496083,17.6,0.21469376909791418,88.0,True,False,True,2
books_general_interest,512,0.0625,1.0,4.46259842519685,15.925,0.2688911248791773,48.9,False,False,False,0
books_technical,260,0.08076923076923077,1.0,4.400778210116732,15.355,0.2637090309772634,57.69,True,False,False,1
christmas_supplies,128,0.078125,2.0,4.055555555555555,18.415,0.40387035871617366,57.95,True,True,False,2
computers,181,0.055248618784530384,2.0,4.174157303370786,42.94,0.03841509937110645,1200.0,False,False,False,0
computers_accessories,6689,0.06234115712363582,1.0,4.026244548052339,16.79,0.21420289855072464,86.0,False,False,False,0
consoles_games,1062,0.0583804143126177,2.0,4.065114068441065,15.31,0.25845324834006456,69.0,False,False,False,0
construction_tools_construction,748,0.07219251336898395,1.0,4.0814266487214,18.595,0.21263326856858236,99.9,True,False,False,1
construction_tools_lights,244,0.06557377049180328,2.0,4.124481327800829,23.32,0.17587962962962964,122.08500000000001,False,False,False,0
construction_tools_safety,167,0.023952095808383235,1.0,3.8493975903614457,18.17,0.1417730559771449,139.79,False,False,True,1
cool_stuff,3632,0.05781938325991189,1.0,4.169630452903585,17.83,0.15276065214412934,129.99,False,False,False,0
costruction_tools_garden,194,0.05154639175257732,1.0,4.190721649484536,19.715,0.35616246498599435,67.9,False,True,False,1
drinks,297,0.050505050505050504,2.0,4.162162162162162,15.47,0.2974418604651163,47.49,False,False,False,0
electronics,2550,0.07529411764705882,1.0,4.095219280916634,15.23,0.6271356783919598,21.9,True,True,False,2
fashion_bags_accessories,1864,0.05472103004291846,1.0,4.189590075512406,15.1,0.27468671679198,49.9,False,False,False,0
fashion_male_clothing,112,0.044642857142857144,2.0,3.7027027027027026,16.575,0.24782075593927044,64.9,False,False,True,1
fashion_shoes,240,0.04583333333333333,4.0,4.218220338983051,17.75,0.23303303303303302,84.9,False,False,False,0
fashion_underwear_beach,121,0.09090909090909091,2.0,3.933333333333333,14.53,0.21469115191986643,59.9,True,False,True,2
fixed_telephony,217,0.04608294930875576,2.0,3.9018691588785046,15.65,0.26004063134864824,60.0,False,False,True,1
food,450,0.06888888888888889,0.0,4.276404494382023,14.395,0.282078853046595,56.97,True,False,False,1
food_drink,227,0.03524229074889868,2.0,4.382743362831858,16.63,0.40692307692307694,40.8,False,True,False,1
furniture_decor,6449,0.06962319739494495,2.0,4.009690528290091,18.99,0.2578787878787879,79.9,True,False,False,1
furniture_living_room,422,0.07345971563981042,2.0,4.028776978417266,29.97,0.2519028470352882,109.97,True,False,False,1
garden_tools,3518,0.06395679363274588,2.0,4.136155606407323,19.685000000000002,0.294991652754591,85.5,False,False,False,0
health_beauty,8836,0.07356269805341784,1.0,4.181203207539999,16.46,0.2045573232850205,84.99,True,False,False,1
home_appliances,764,0.04319371727748691,1.0,4.160096364432764,16.14,0.3066510453427558,49.0,False,True,False,1
home_appliances_2,234,0.05982905982905983,3.0,4.133620689655173,38.63,0.1450359712230216,229.99,False,False,False,0
home_confort,397,0.09319899244332494,1.0,3.8632911392405065,17.79,0.1568469505178366,89.9,True,False,True,2
home_construction,490,0.05918367346938776,2.0,3.9671457905544147,19.715,0.18722153202207653,119.85,False,False,True,1
housewares,5884,0.052345343303874914,1.0,4.1422214615779565,17.78,0.2803125,69.0,False,False,False,0
industry_commerce_and_business,235,0.06808510638297872,1.0,4.1888412017167385,23.5,0.21063636363636365,107.8,True,False,False,1
kitchen_dining_laundry_garden_furniture,248,0.04435483870967742,2.0,4.048780487804878,32.97,0.26982694254619083,129.0,False,False,False,0
luggage_accessories,1034,0.0425531914893617,1.0,4.331067961165049,19.32,0.22786926332224003,103.75,False,False,False,0
market_place,280,0.039285714285714285,2.0,4.028776978417266,16.05,0.25660329299691587,62.8,False,False,False,0
musical_instruments,628,0.0732484076433121,1.0,4.181672025723473,18.755,0.16758260088535315,111.95,True,False,False,1
office_furniture,1273,0.0793401413982718,9.0,3.616389548693587,38.08,0.23927990998874862,159.99,True,False,True,2
perfumery,3162,0.06388361796331436,1.0,4.203333333333333,15.25,0.16631138761225073,92.99,False,False,False,0
pet_shop,1710,0.050292397660818715,1.0,4.238095238095238,18.155,0.21093525179856115,95.0,False,False,False,0
signaling_and_security,140,0.04285714285714286,1.0,4.108695652173913,19.555,0.2802699823108973,89.9,False,False,False,0
small_appliances,630,0.046031746031746035,1.0,4.173076923076923,18.6,0.17577272727272727,104.9,False,False,False,0
sports_leisure,7720,0.06411917098445596,1.0,4.16736210718477,17.1,0.21001360302303385,89.9,False,False,False,0
stationery,2311,0.0640415404586759,2.0,4.244662309368191,16.99,0.22,79.0,False,False,False,0
telephony,4199,0.06930221481305072,2.0,4.003119001919385,15.1,0.43819095477386943,29.99,True,True,False,2
toys,3886,0.06253216675244468,1.0,4.189332987282637,16.35,0.198140200286123,89.0,False,False,False,0
watches_gifts,5624,0.07219061166429587,1.0,4.065459110473458,16.12,0.11245762711864406,139.9,True,False,False,1
