purchase_month,total_orders,delivered_orders,late_delivery_rate,average_review_score,median_delivery_days,median_handling_days,median_freight_value
2016-10,324,270,0.7407407407407408,3.561128526645768,17.0,8.0,17.564999999999998
2017-01,800,750,2.933333333333333,4.062658227848101,10.0,1.0,18.0
2017-02,1780,1653,2.9643073200241985,4.015837104072398,10.0,1.0,17.19
2017-03,2682,2546,4.556166535742341,4.074596016535137,10.0,1.0,16.5
2017-04,2404,2303,6.556665219279201,4.046082949308755,12.0,1.0,16.75
2017-05,3700,3545,2.9901269393511987,4.142116748499728,9.0,1.0,16.46
2017-06,3245,3135,3.0303030303030303,4.147762585456806,10.0,1.0,16.49
2017-07,4026,3872,2.7892561983471076,4.175396825396825,10.0,1.0,16.48
2017-08,4331,4193,2.909611256856666,4.237436016751977,9.0,1.0,16.52
2017-09,4285,4150,4.385542168674699,4.187838155728064,10.0,2.0,16.81
2017-10,4631,4478,4.175971415810629,4.124537339429566,10.0,1.0,16.79
2017-11,7544,7288,12.403951701427003,3.9108288770053474,12.0,2.0,16.75
2017-12,5673,5513,7.455106112824233,4.018888096935139,13.0,2.0,16.195
2018-01,7269,7069,5.7009478002546325,4.041799750034717,11.0,2.0,16.34
2018-02,6728,6556,14.139719341061625,3.8273131494804153,14.0,2.0,16.25
2018-03,7211,7003,18.963301442239043,3.7535674314493566,13.0,2.0,18.23
2018-04,6939,6798,4.501323918799647,4.162501816068575,9.0,1.0,18.23
2018-05,6873,6749,6.563935397836716,4.194034215528586,9.0,1.0,17.95
2018-06,6167,6096,1.1646981627296589,4.2774792379091355,7.0,1.0,18.79
2018-07,6292,6156,3.378817413905133,4.263246358251961,7.0,1.0,18.99
2018-08,6512,6351,6.188001889466226,4.256206630686199,7.0,1.0,18.31
